Query: to
----------------------------------------
Results (Okapi BM25):
  Document: speech_30.txt, Score: 0.0192
  Document: speech_3.txt, Score: 0.0192
  Document: speech_19.txt, Score: 0.0192
  Document: speech_41.txt, Score: 0.0192
  Document: speech_48.txt, Score: 0.0192
  Document: speech_5.txt, Score: 0.0191
  Document: speech_10.txt, Score: 0.0191
  Document: speech_13.txt, Score: 0.0191
  Document: speech_16.txt, Score: 0.0191
  Document: speech_45.txt, Score: 0.0191
  Document: speech_43.txt, Score: 0.0191
  Document: speech_36.txt, Score: 0.0191
  Document: speech_4.txt, Score: 0.0191
  Document: speech_1.txt, Score: 0.0191
  Document: speech_12.txt, Score: 0.0191
  Document: speech_50.txt, Score: 0.0191
  Document: speech_2.txt, Score: 0.0191
  Document: speech_46.txt, Score: 0.0191
  Document: speech_23.txt, Score: 0.0191
  Document: speech_11.txt, Score: 0.0191
  Document: speech_49.txt, Score: 0.0191
  Document: speech_35.txt, Score: 0.0191
  Document: speech_8.txt, Score: 0.0191
  Document: speech_47.txt, Score: 0.0191
  Document: speech_7.txt, Score: 0.0191
  Document: speech_32.txt, Score: 0.0191
  Document: speech_6.txt, Score: 0.0191
  Document: speech_18.txt, Score: 0.0191
  Document: speech_34.txt, Score: 0.0191
  Document: speech_29.txt, Score: 0.0191
  Document: speech_25.txt, Score: 0.0191
  Document: speech_52.txt, Score: 0.0191
  Document: speech_40.txt, Score: 0.0191
  Document: speech_51.txt, Score: 0.0191
  Document: speech_15.txt, Score: 0.0191
  Document: speech_24.txt, Score: 0.0191
  Document: speech_39.txt, Score: 0.0191
  Document: speech_33.txt, Score: 0.0191
  Document: speech_26.txt, Score: 0.0191
  Document: speech_37.txt, Score: 0.0191
  Document: speech_14.txt, Score: 0.0191
  Document: speech_17.txt, Score: 0.0191
  Document: speech_9.txt, Score: 0.0191
  Document: speech_21.txt, Score: 0.0191
  Document: speech_27.txt, Score: 0.0191
  Document: speech_28.txt, Score: 0.0191
  Document: speech_31.txt, Score: 0.0190
  Document: speech_0.txt, Score: 0.0190
  Document: speech_42.txt, Score: 0.0190
  Document: speech_54.txt, Score: 0.0190
  Document: speech_55.txt, Score: 0.0190
  Document: speech_44.txt, Score: 0.0190
  Document: speech_22.txt, Score: 0.0190
  Document: speech_20.txt, Score: 0.0190
  Document: speech_53.txt, Score: 0.0190
  Document: speech_38.txt, Score: 0.0189

Results (LM with Jelinek-Mercer):
  Document: speech_13.txt, Score: -3.1941
  Document: speech_48.txt, Score: -3.2573
  Document: speech_41.txt, Score: -3.2587
  Document: speech_43.txt, Score: -3.2820
  Document: speech_30.txt, Score: -3.2835
  Document: speech_23.txt, Score: -3.2967
  Document: speech_50.txt, Score: -3.3131
  Document: speech_3.txt, Score: -3.3160
  Document: speech_46.txt, Score: -3.3297
  Document: speech_45.txt, Score: -3.3373
  Document: speech_16.txt, Score: -3.3388
  Document: speech_49.txt, Score: -3.3413
  Document: speech_5.txt, Score: -3.3436
  Document: speech_35.txt, Score: -3.3638
  Document: speech_1.txt, Score: -3.3777
  Document: speech_25.txt, Score: -3.3805
  Document: speech_10.txt, Score: -3.3817
  Document: speech_12.txt, Score: -3.3818
  Document: speech_29.txt, Score: -3.3856
  Document: speech_36.txt, Score: -3.3857
  Document: speech_15.txt, Score: -3.3869
  Document: speech_47.txt, Score: -3.3934
  Document: speech_14.txt, Score: -3.4031
  Document: speech_51.txt, Score: -3.4033
  Document: speech_19.txt, Score: -3.4118
  Document: speech_24.txt, Score: -3.4145
  Document: speech_34.txt, Score: -3.4180
  Document: speech_32.txt, Score: -3.4190
  Document: speech_28.txt, Score: -3.4298
  Document: speech_4.txt, Score: -3.4349
  Document: speech_53.txt, Score: -3.4382
  Document: speech_42.txt, Score: -3.4483
  Document: speech_27.txt, Score: -3.4485
  Document: speech_52.txt, Score: -3.4516
  Document: speech_2.txt, Score: -3.4586
  Document: speech_11.txt, Score: -3.4587
  Document: speech_18.txt, Score: -3.4609
  Document: speech_33.txt, Score: -3.4645
  Document: speech_40.txt, Score: -3.4664
  Document: speech_21.txt, Score: -3.4721
  Document: speech_39.txt, Score: -3.5061
  Document: speech_17.txt, Score: -3.5154
  Document: speech_6.txt, Score: -3.5230
  Document: speech_7.txt, Score: -3.5332
  Document: speech_26.txt, Score: -3.5457
  Document: speech_37.txt, Score: -3.5477
  Document: speech_55.txt, Score: -3.5630
  Document: speech_31.txt, Score: -3.5744
  Document: speech_8.txt, Score: -3.5761
  Document: speech_22.txt, Score: -3.5827
  Document: speech_38.txt, Score: -3.5920
  Document: speech_54.txt, Score: -3.6012
  Document: speech_9.txt, Score: -3.6149
  Document: speech_44.txt, Score: -3.6720
  Document: speech_20.txt, Score: -3.6879
  Document: speech_0.txt, Score: -3.7264

========================================

Query: america strong
----------------------------------------
Results (Okapi BM25):
  Document: speech_2.txt, Score: 0.5943
  Document: speech_13.txt, Score: 0.5673
  Document: speech_23.txt, Score: 0.5502
  Document: speech_46.txt, Score: 0.5366
  Document: speech_49.txt, Score: 0.5363
  Document: speech_29.txt, Score: 0.5290
  Document: speech_35.txt, Score: 0.5265
  Document: speech_7.txt, Score: 0.5123
  Document: speech_16.txt, Score: 0.5114
  Document: speech_36.txt, Score: 0.4903
  Document: speech_10.txt, Score: 0.4697
  Document: speech_42.txt, Score: 0.4606
  Document: speech_11.txt, Score: 0.4563
  Document: speech_14.txt, Score: 0.4302
  Document: speech_27.txt, Score: 0.4225
  Document: speech_22.txt, Score: 0.4175
  Document: speech_15.txt, Score: 0.4169
  Document: speech_50.txt, Score: 0.4149
  Document: speech_51.txt, Score: 0.4058
  Document: speech_33.txt, Score: 0.3916
  Document: speech_47.txt, Score: 0.3910
  Document: speech_48.txt, Score: 0.3888
  Document: speech_45.txt, Score: 0.3882
  Document: speech_54.txt, Score: 0.3871
  Document: speech_41.txt, Score: 0.3863
  Document: speech_31.txt, Score: 0.3853
  Document: speech_34.txt, Score: 0.3852
  Document: speech_32.txt, Score: 0.3813
  Document: speech_17.txt, Score: 0.3688
  Document: speech_5.txt, Score: 0.3634
  Document: speech_30.txt, Score: 0.3574
  Document: speech_40.txt, Score: 0.3566
  Document: speech_20.txt, Score: 0.3565
  Document: speech_44.txt, Score: 0.3515
  Document: speech_39.txt, Score: 0.3500
  Document: speech_37.txt, Score: 0.3346
  Document: speech_26.txt, Score: 0.3331
  Document: speech_19.txt, Score: 0.2335
  Document: speech_0.txt, Score: 0.2168
  Document: speech_8.txt, Score: 0.1556
  Document: speech_4.txt, Score: 0.0181
  Document: speech_3.txt, Score: 0.0180
  Document: speech_25.txt, Score: 0.0180
  Document: speech_12.txt, Score: 0.0174
  Document: speech_24.txt, Score: 0.0173
  Document: speech_18.txt, Score: 0.0172
  Document: speech_52.txt, Score: 0.0170
  Document: speech_21.txt, Score: 0.0163
  Document: speech_9.txt, Score: 0.0161
  Document: speech_38.txt, Score: 0.0160
  Document: speech_1.txt, Score: 0.0158
  Document: speech_55.txt, Score: 0.0150
  Document: speech_43.txt, Score: 0.0150
  Document: speech_53.txt, Score: 0.0122
  Document: speech_6.txt, Score: 0.0121
  Document: speech_28.txt, Score: 0.0110

Results (LM with Jelinek-Mercer):
  Document: speech_13.txt, Score: -11.6011
  Document: speech_2.txt, Score: -12.0493
  Document: speech_46.txt, Score: -12.3642
  Document: speech_51.txt, Score: -12.4354
  Document: speech_49.txt, Score: -12.4547
  Document: speech_35.txt, Score: -12.5127
  Document: speech_7.txt, Score: -12.5694
  Document: speech_42.txt, Score: -12.7345
  Document: speech_29.txt, Score: -12.7567
  Document: speech_16.txt, Score: -12.7988
  Document: speech_36.txt, Score: -12.8336
  Document: speech_50.txt, Score: -12.8444
  Document: speech_23.txt, Score: -12.8614
  Document: speech_14.txt, Score: -12.9166
  Document: speech_41.txt, Score: -12.9809
  Document: speech_27.txt, Score: -13.0151
  Document: speech_34.txt, Score: -13.0560
  Document: speech_32.txt, Score: -13.0988
  Document: speech_54.txt, Score: -13.1005
  Document: speech_33.txt, Score: -13.1208
  Document: speech_5.txt, Score: -13.1219
  Document: speech_40.txt, Score: -13.1431
  Document: speech_31.txt, Score: -13.1915
  Document: speech_10.txt, Score: -13.1989
  Document: speech_47.txt, Score: -13.2881
  Document: speech_20.txt, Score: -13.3024
  Document: speech_15.txt, Score: -13.3093
  Document: speech_48.txt, Score: -13.3116
  Document: speech_39.txt, Score: -13.3137
  Document: speech_37.txt, Score: -13.4161
  Document: speech_22.txt, Score: -13.4366
  Document: speech_30.txt, Score: -13.4820
  Document: speech_11.txt, Score: -13.4820
  Document: speech_45.txt, Score: -13.5069
  Document: speech_26.txt, Score: -13.5344
  Document: speech_17.txt, Score: -13.6053
  Document: speech_44.txt, Score: -14.1881
  Document: speech_25.txt, Score: -14.2218
  Document: speech_4.txt, Score: -14.3030
  Document: speech_3.txt, Score: -14.3362
  Document: speech_19.txt, Score: -14.5194
  Document: speech_24.txt, Score: -14.5735
  Document: speech_12.txt, Score: -14.5874
  Document: speech_18.txt, Score: -14.7003
  Document: speech_52.txt, Score: -14.7706
  Document: speech_38.txt, Score: -14.8215
  Document: speech_0.txt, Score: -14.8394
  Document: speech_21.txt, Score: -14.8956
  Document: speech_1.txt, Score: -15.0533
  Document: speech_9.txt, Score: -15.0681
  Document: speech_55.txt, Score: -15.1255
  Document: speech_43.txt, Score: -15.1264
  Document: speech_53.txt, Score: -15.3246
  Document: speech_8.txt, Score: -15.3974
  Document: speech_28.txt, Score: -15.5143
  Document: speech_6.txt, Score: -15.5349

========================================

Query: to bring us
----------------------------------------
Results (Okapi BM25):
  Document: speech_36.txt, Score: 0.4018
  Document: speech_29.txt, Score: 0.4017
  Document: speech_0.txt, Score: 0.4001
  Document: speech_25.txt, Score: 0.3987
  Document: speech_3.txt, Score: 0.3868
  Document: speech_16.txt, Score: 0.3859
  Document: speech_32.txt, Score: 0.3820
  Document: speech_15.txt, Score: 0.3775
  Document: speech_41.txt, Score: 0.3760
  Document: speech_46.txt, Score: 0.3758
  Document: speech_4.txt, Score: 0.3737
  Document: speech_30.txt, Score: 0.3721
  Document: speech_49.txt, Score: 0.3683
  Document: speech_10.txt, Score: 0.3648
  Document: speech_35.txt, Score: 0.3631
  Document: speech_26.txt, Score: 0.3573
  Document: speech_45.txt, Score: 0.3571
  Document: speech_48.txt, Score: 0.3571
  Document: speech_24.txt, Score: 0.3546
  Document: speech_11.txt, Score: 0.3497
  Document: speech_27.txt, Score: 0.3484
  Document: speech_1.txt, Score: 0.3478
